,Temparature,Humidity ,Moisture,Nitrogen,Potassium,Phosphorous,Black,Clayey,Loamy,Red,Sandy
0,-1.2290836106726428,-1.2307368042421942,-0.4620642918517568,1.567539375020548,-0.5849104075516762,-1.387606940935962,0,0,0,0,1
1,-0.36814532678166445,-1.2307368042421942,0.16212782170237103,-0.5986582537766918,-0.5849104075516762,1.2972090946209156,0,0,1,0,0
2,1.066751813036633,1.0064923865201005,1.6780229546195387,-1.0318977795361397,0.9707766764141252,0.849739755361436,1,0,0,0,0
3,0.492792957109314,0.49020872711341706,-0.8187454995969727,0.2678207977422041,-0.5849104075516762,0.10395752326230337,0,0,0,1,0
4,-0.655124754745324,-0.886547697971072,0.251298123638675,1.3942435647167688,-0.5849104075516762,-1.387606940935962,0,1,0,0,0
5,-1.2290836106726428,-1.2307368042421942,-0.7295751976606687,-0.5986582537766918,1.1436307968547699,-0.4180900392070894,0,0,0,0,1
6,-1.5160630386363023,-1.5749259105133167,1.8563635584921465,-0.8586019692323605,-0.5849104075516762,-0.6418247088368292,0,0,0,1,0
7,0.7797723850729734,0.8343978333845393,0.6079793313838909,1.9141309956281063,-0.5849104075516762,-1.387606940935962,0,0,1,0,0
8,-0.08116589881800497,0.14601962084229478,-0.10538308410654089,0.18117289259031452,-0.5849104075516762,-0.04519892315752315,0,0,0,0,1
9,-0.36814532678166445,-0.19816948542882748,-0.9079158015332767,-0.8586019692323605,0.6250684355328361,0.849739755361436,1,0,0,0,0
10,-0.9421041827089833,-0.886547697971072,-1.3537673112147965,-0.5120103486248022,-0.5849104075516762,1.5955219874605686,0,1,0,0,0
11,0.2058135291456545,0.49020872711341706,0.42963872751128296,-0.42536244347291263,2.007901399057993,-0.4926682624170027,0,0,0,0,1
12,-1.5160630386363023,-1.5749259105133167,1.9455338604284504,1.4808914698686584,-0.5849104075516762,-1.387606940935962,0,0,1,0,0
13,0.492792957109314,0.49020872711341706,-0.19455338604284486,0.4411166080459833,-0.5849104075516762,0.2531139696821299,0,1,0,0,0
14,-1.2290836106726428,-1.2307368042421942,-1.0862564054058845,-0.42536244347291263,-0.5849104075516762,1.6701002106704819,0,0,0,1,0
15,0.2058135291456545,0.49020872711341706,0.5188090294475869,-0.771954064080471,1.6621931581767038,-0.3435118159971762,1,0,0,0,0
16,0.7797723850729734,0.8343978333845393,-0.8187454995969727,1.6541872801724375,-0.5849104075516762,-1.387606940935962,0,1,0,0,0
17,-1.5160630386363023,-1.5749259105133167,-0.3728939899154528,0.18117289259031452,-0.5849104075516762,0.029379300052390114,0,0,0,0,1
18,-0.655124754745324,-0.886547697971072,1.9455338604284504,1.7408351853243271,-0.5849104075516762,-1.387606940935962,1,0,0,0,0
19,-0.36814532678166445,-0.19816948542882748,0.7863199352564989,-0.5120103486248022,-0.5849104075516762,1.2972090946209156,0,0,1,0,0
20,-0.08116589881800497,0.14601962084229478,0.07295751976606706,-0.771954064080471,-0.5849104075516762,-0.7164029320467424,0,0,0,0,1
21,1.066751813036633,1.0064923865201005,0.8754902371928028,-0.5986582537766918,1.8350472786173484,-0.4926682624170027,0,0,1,0,0
22,1.3537312410002924,1.5227760459267838,-0.9079158015332767,-0.6853061589285814,-0.5849104075516762,1.3717873178308289,0,0,0,1,0
23,-0.655124754745324,-0.886547697971072,-0.5512345937880607,1.4808914698686584,-0.5849104075516762,-1.387606940935962,1,0,0,0,0
24,0.7797723850729734,0.8343978333845393,-0.3728939899154528,-0.5120103486248022,-0.5849104075516762,-0.6418247088368292,0,1,0,0,0
25,-1.2290836106726428,-1.2307368042421942,0.07295751976606706,0.3544687028940937,-0.5849104075516762,0.10395752326230337,0,0,0,0,1
26,-0.08116589881800497,0.14601962084229478,1.7671932565558426,-0.8586019692323605,0.9707766764141252,0.7751615321515227,0,0,0,1,0
27,0.492792957109314,0.49020872711341706,-1.1754267073421887,1.6541872801724375,-0.5849104075516762,-1.387606940935962,0,0,1,0,0
28,1.9276900969276114,1.866965152197906,-0.9970861034695806,-0.5986582537766918,-0.5849104075516762,1.5209437642506554,1,0,0,0,0
29,-1.2290836106726428,-1.2307368042421942,-0.6404048957243648,-0.42536244347291263,-0.5849104075516762,-0.4180900392070894,0,1,0,0,0
30,-0.36814532678166445,-0.19816948542882748,-0.2837236879791488,0.4411166080459833,-0.5849104075516762,0.32769219289204315,0,0,0,1,0
31,-0.08116589881800497,0.14601962084229478,-1.4429376131511005,-0.5986582537766918,-0.5849104075516762,1.5955219874605686,0,0,1,0,0
32,1.066751813036633,1.0064923865201005,-0.4620642918517568,1.7408351853243271,-0.5849104075516762,-1.387606940935962,0,1,0,0,0
